nm;Pute2_2, (M, id=5248);Rind1_1, (M, id=5249);Rind1_2, (M, id=5250);Rind1_3 Schwarte, (M, id=5251);Rind1_4, (M, id=5252);Rind1_5 Sehne, (M, id=5253);Rind2 Fett, (M, id=5254);Rind Rumpsteak, (M, id=5255);Rind Rumpsteak Schwarte, (M, id=5256);Schweinenacken1 Fett, (M, id=5257);Schweinenacken1 Fett, (M, id=5258);Schweinenacken1 Knochen, (M, id=5259);Schweinenachen1 Knochenmark, (M, id=5260);Schweineruecken1, (M, id=5261);Schweineruecken1 Sehne, (M, id=5262);Schweineruecken2, (M, id=5263);Schweineruecken3, (M, id=5264);Schweineruecken4, (M, id=5265);Kotelett Fett, (M, id=5952);Kotelett Fleisch dunkel, (M, id=5953);Kotelett Fleisch hell, (M, id=5954);Kotelett Knochen, (M, id=5955);Kotelett Knochenmark, (M, id=5956);Rumpsteak Fleisch dunkel, (M, id=5957);Rumpsteak Fett, (M, id=5958);Rumpsteak Fleisch hell, (M, id=5959);Jungbulle Hüftsteak 1, (M, id=5966);Jungbulle Hüftsteak 2, (M, id=5967);Rinderhüfte 1, (M, id=5971);Rinderhüfte 2, (M, id=5972);Rinderhüfte 3 Fett, (M, id=5973);Rinderhüfte 4, (M, id=5974);Rinderkeule 1 Fett, (M, id=5975);Rinderkeule 2, (M, id=5976);Rinderkeule 3, (M, id=5977);Schwein 1, (M, id=5978);Schwein 2, (M, id=5979);Schweinenacken 1-1 Fett, (M, id=5980);Schweinenacken 1-2, (M, id=5981);Schweinerücken 1-1, (M, id=5982);Schweinerücken 1-2, (M, id=5983);Schwein Fett, (M, id=5984);Weisswurst, (M, id=5986);Schweinefleisch Fett 1, (M, id=5987);Schweinefleisch Fett 2, (M, id=5988);Schweinefleisch Fett 3, (M, id=5989);Schweinefleisch Fett Blut, (M, id=5990);Schweinefleisch Fleisch 1, (M, id=5991);Schweinefleisch Fleisch 2, (M, id=5992);Schweinefleisch Fleisch 3, (M, id=5993);Schweinefleisch Fleisch 4, (M, id=5994);Schweinefleisch Knochen 1, (M, id=5995);Schweinefleisch Knochen 2, (M, id=5996);Schweinefleisch Knochen 3, (M, id=5997);Schweinefleisch Knochen Rippe, (M, id=5998);Schweinefleisch Knochenmark 1, (M, id=5999);Schweinefleisch Knorpel, (M, id=6000);Schweinefleisch Schwarte, (M, id=6001);Schweinefleisch Sehne 1, (M, id=6002);Huhn1_1, (M, id=5237);Huhn1_2, (M, id=5238);Huhn2 Fett, (M, id=5239);Huhn2, (M, id=5240);Jungbulle1_1, (M, id=5241);Jungbulle1_2, (M, id=5242);Jungbulle2, (M, id=5243);Jungbulle3, (M, id=5244);Pute1_1, (M, id=5245);Pute1_2, (M, id=5246);Pute2_1, (M, id=5247)
400;2,91649951764;1,09101975386;1,22449235116;13,6035668606;0,94407702684;8,17850249872;3,0449118627;0,7262131371;9,57147491214;3,82425713512;13,1887764976;3,41147014894;2,41286683808;3,9205827327;26,4760491035;9,249657793;4,77377814706;8,8644212564;15,5226518475;3,21085106642;6,02846821928;13,9085191859;3,50177448668;2,42394442268;5,6685892802;3,58100012642;3,6336062504;0,7321644139;2,40512751236;1,45511325;4,51458536054;2,70151494348;6,13870740952;2,17729160136;2,39074849334;3,22985709256;12,3799858151;24,908508953;3,15476173016;11,3183877766;5,01831423522;11,9894514107;24,1978731141;30,5384780509;2,70760925274;4,59495021768;2,48802328404;3,46401167486;1,49779820314;0,40835437584;3,37979636542;4,08001198828;2,16962995606;2,8866072342;3,93188471448;5,61774891744;2,9935356302;25,6697112453;25,0676324116;11,2447339492;8,78885899482;11,8229663244;6,54054595676;0,70882126902;0,84513705786;0,90807800484;1,85645179304;4,89296061764;5,28692138414;6,1577825607
410;1,63422734832;0,7449298239;0,67687097002;10,1461839761;0,59684153558;5,90752991476;2,05354626138;0,46683001734;7,38205596544;3,15023786156;10,2191934989;3,04796933762;2,23942131166;2,4831409862;23,4278097488;7,16637738486;3,1285470711;6,2842945283;12,1160567976;2,3500769299;4,29244030914;10,3299347503;3,2566375713;1,98670380674;4,78185416336;2,44337308156;2,56705985842;0,57579947262;2,04627695478;1,03683166838;2,37862497146;2,15626397424;5,18652539378;1,90379209126;2,09353312776;2,0881196921;9,78266272914;20,0324217886;1,92672463814;9,85254510292;3,33525273036;8,97613183074;24,7113254379;27,6745352995;2,33403458466;3,12163065738;2,2473005499;2,37483817362;1,19195097932;0,31412241928;2,53698871212;3,87086387708;1,81788835692;2,54351444958;3,64267572626;5,39333060818;2,6036956772;21,8546008215;19,5775273794;9,76511157584;7,63412187832;10,008651135;5,54396227548;0,52694488044;0,4185485828;0,72653503242;1,5722668321;4,04140171482;4,0966251252;5,1004536139
420;1,16169932304;1,12964024514;0,96026572942;10,6497982954;0,85768521902;7,49466822718;2,58281084246;0,76363192038;8,14058698566;3,0819780116;12,4593399659;3,70018864726;2,28868499388;2,55440377636;24,3107000186;7,3322432302;2,49093042368;5,506278103;13,4887991387;2,35730473058;3,99469581228;11,3316920402;3,60216747644;1,99112926874;4,87262992726;2,31828682458;2,65382694774;0,60692732306;2,12212745762;0,94955536952;2,42919279668;2,11313732462;6,12249048832;1,89450607008;1,99952536344;2,1789570886;10,135863384;19,8824766353;1,89406564148;11,8856607409;3,62198655618;11,0053137645;25,5919848138;28,2228552645;2,83711524574;4,70965049538;2,61968705268;2,29473262028;1,63911261162;0,4418886582;2,97584566246;3,89054746726;2,17942367882;2,84660356602;3,77461923434;5,36163066304;3,29365798094;23,0359212441;19,7059275001;10,5468400336;7,40643885818;10,6780439504;5,1438368068;0,8631311602;0,82724372808;0,95825671222;1,57839697176;4,40863262824;3,59743491438;5,2643298652
430;1,86217697508;1,75786859086;1,15177247668;15,7270334336;1,02425131066;13,8944829429;5,39791787584;1,11040212444;12,4201685007;3,62121703036;19,1198263951;5,01668619036;2,86140340086;4,63384305688;29,5194910045;10,1765196536;3,43262597812;7,03719380108;19,5910125949;3,60272071234;5,72685094728;17,8095423629;4,31396305406;2,46317208508;6,786684647;3,5028214869;4,94506010298;0,99421820624;2,669767303;1,50648817948;5,63990067616;3,1130063925;10,4624140241;2,26218908742;2,39438828078;3,98079108086;13,7190807225;25,1582920082;3,56287396342;16,0733642536;5,98292930774;17,4938674533;28,8380474612;32,4490426654;4,92416876986;9,84882617756;2,69953541278;3,66357259574;2,27752348898;0,57950929356;4,63108916752;4,56916412228;3,0454158953;3,75841156894;4,4103503347;6,10587030398;5,10928279924;28,9150188716;25,4876316492;12,7725855884;8,12794473684;13,4641940067;5,7397041515;1,6757255432;1,20659756388;1,48072180088;2,00497296706;5,93372892056;4,53204822104;6,55398620542
440;4,78937070388;3,14709974076;2,22678389878;22,3265499952;2,05106909244;21,793065885;9,85288374648;2,10115925162;18,5731469547;4,4286882255;26,8919249537;6,73988590936;3,68979198672;7,32647729622;34,5322730123;13,6074977003;5,25825144928;10,2678137315;26,4556801632;5,30066466932;8,13219208996;26,5438375778;4,80350399694;3,43532190386;10,4787349418;4,94034811262;9,37285920644;2,36715369158;3,6941858012;2,9460252799;11,9352955722;4,37653441038;16,4451559641;3,0476182112;3,21728700312;6,11063924548;17,6620176644;33,0238013777;6,01028570464;19,5087670083;9,49228061096;25,4469272713;32,9421376585;37,2475780783;7,56205419538;16,8755703769;2,99683857258;5,46604369374;3,31415179532;1,18955939312;6,79464936396;5,3340347296;4,57307036186;4,66714982212;4,85942216772;7,53386055466;7,42033342224;35,8805922578;32,2645977303;14,4516665517;9,4099312358;17,3602030148;6,86942137354;3,28285459632;2,04800794854;2,74149356344;3,07002992368;7,63223214838;6,11104521558;8,52216355458
450;10,0241908515;4,47620541518;3,76357022778;27,8864981602;3,56033883086;27,6213949498;13,797149485;3,62182092706;23,335826687;6,21639189016;32,3461668664;8,94309864756;4,53512088578;9,89413541096;37,1301300655;16,0889627413;8,87100807742;14,5139797023;30,5688591587;7,24714046116;10,4673838072;32,9551253398;5,15101051778;4,35260658702;14,6333426982;6,48295475584;14,6565625779;4,23742398024;5,2508919825;4,87078099972;18,7454662926;5,85201418116;21,8065414502;4,14372201296;4,51424429746;8,1289844847;19,8331291688;39,8162953136;9,15220434438;21,2955302401;12,1198933447;30,9813802418;36,5762755607;40,5346447112;10,3914155251;23,092931073;3,50828136534;7,69727760416;4,54235310942;2,3702548839;8,89728673504;5,72539737746;6,59292859202;5,51128008266;5,2038567778;9,29560142208;10,0134660558;40,7829969292;36,2491055755;15,3427172031;10,5469362791;21,4260631923;8,62845373144;4,9348866222;3,48772521484;4,2862524108;4,45450768132;9,2196022464;8,65185614296;10,3266358179
460;13,86932166;5,3139184082;5,10438440312;31,2512170773;4,75916411848;30,4938777017;16,4846806632;5,03377356442;26,1753783497;8,6096638912;35,4288398433;10,7654495999;5,42264661404;11,7541715987;38,0635124866;17,6073983052;12,303054554;17,5525999791;32,3806270448;8,56273434546;12,3115579701;36,3956700556;5,57096351756;5,05279841422;17,968461242;7,86889211824;19,2141028735;5,8861838028;7,59646798146;6,9499243416;24,3303883727;7,34344689098;24,7938708723;5,0299382668;6,3937951214;9,20282907028;20,8094341235;43,5057006524;11,5619177174;22,1029520775;13,640045107;33,7751278439;39,2355960914;42,1511098468;12,7354071461;27,1292829583;3,7644129575;9,61153186248;5,47270824564;3,84995293118;10,323541569;6,28880435562;8,81741694524;6,44267275526;5,28676391584;10,9038851914;11,8211243402;43,19965389;37,9408403589;15,6681463361;11,3817898783;23,8719151052;9,83662888432;6,0447702782;4,62467793494;5,6895053679;5,73325744794;10,0181179215;10,4013946947;11,3976680015
470;15,0847893156;5,82874273222;6,24185543718;32,8800516656;5,88149113468;31,7725065691;17,9164747185;6,23800167532;27,9716115921;10,2097300692;36,9351363361;12,2639228466;6,24291616972;12,6312876376;38,384693358;18,3685345419;13,7533803983;18,4226540514;33,1171437672;9,39377111126;13,1648763943;38,0835880056;5,83921420864;5,71828826454;20,1240289479;8,83236691042;22,5319383282;7,15785992748;9,37127839348;8,6518323473;28,371342012;8,48656506724;26,1322625174;5,82044741008;8,0336579366;9,74945517494;21,0102391668;44,8949443357;12,9884159618;22,3789057148;14,3403525021;35,0132168139;40,8805414465;42,7570188517;14,2728289689;29,5195140462;3,89868808162;10,7174384914;6,26976798498;5,1199929542;11,2179500065;6,73780066924;10,530059056;7,06592809392;5,34199114968;12,3730131507;13,1284229024;44,0492110785;38,5412871194;15,5935323087;11,4926349718;24,8483071002;10,1475471272;6,64369801282;5,74105825178;6,88830524788;6,79812492932;10,2941262481;10,9753524921;11,71856778
480;15,1670709728;6,07737237418;7,10469252612;33,7088916014;6,83050207908;32,0290525827;18,7473104882;7,09823666768;29,1396589032;10,7488920606;38,1669573109;13,3217420937;6,98302789928;13,0516073131;38,5405985485;18,845056601;13,8680516345;18,4632787775;33,5293746025;9,70178221454;13,4019886225;39,3345832571;6,00424502164;6,14230845156;21,5805279457;9,67404616364;25,172581517;7,89689628372;10,0945929968;10,0312761688;31,5707318619;9,26235301502;26,7601110547;6,4131842809;9,0007761852;10,1097679082;20,8989889612;45,7078761632;13,9265649584;22,5409015456;14,7923984387;35,7358450577;42,1562847584;42,9637065958;15,2306937523;31,1310038088;4,03831682572;11,0946238703;6,76693635474;6,15320038438;11,6339137044;7,03669530484;11,7232889757;7,61678545342;5,3734994081;13,9161435938;14,1785276823;44,3197580691;38,6955507223;15,3891924335;11,3719178756;25,0669930439;10,068636389;6,68651499148;6,57147265664;7,85267821296;7,54433972846;10,3373976966;10,9020356643;11,6829831794
490;14,9635153146;5,91728458316;7,6999367559;34,021410475;7,41392988704;31,5358705494;19,1105373045;7,63695334408;29,7459415271;10,7802885747;39,0941873047;14,0043511201;7,60688019124;13,0979900173;38,6203073906;18,9655110685;13,5897232127;18,1450966634;33,6321800591;9,74902686668;13,3131225103;40,0164912832;6,10284301908;6,25609600118;22,2702653032;10,1293534863;26,4631985207;8,24186088308;9,87522467148;10,9324201001;33,5721892152;9,62126611366;26,4192800071;6,8135485826;9,3233497478;10,1931957261;20,535343146;46,0681342073;14,5184845072;22,5641945787;14,9575925654;35,8810645924;43,0956269077;43,1187304656;15,8845244595;31,9271423335;4,09582189486;11,018905942;7,03687471674;6,8352647807;11,8637904346;7,19464935596;12,4998318589;8,09164288326;5,3795739501;15,0298248649;14,8505373897;44,5293983326;38,6049830524;15,2025516808;11,2195337849;25,2060648831;9,92393678024;6,38881587446;7,01531488886;8,45403154726;8,04016627276;10,3556745543;10,7427297244;11,5754119012
